,name,category_code,tag_list,offices,zip_code,city,country_code,latitude,longitude
152,ShopMyCloset,ecommerce,"shopping, online, online-shopping, vintage, women, fashion, events, designer, discount, bargain, shoes, dresses, shop, shopblog, shop-blog, styling","[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': 40.75604, 'longitude': -73.986941}]",,,USA,40.75604,-73.986941
153,XFRIDAY,ecommerce,"website-design, website-programming, ecommerce-consulting","[{'zip_code': '', 'city': 'Faridabad', 'country_code': 'IND', 'latitude': 28.382219, 'longitude': 77.303093}, {'zip_code': '', 'city': 'Faridabad', 'country_code': 'IND', 'latitude': 28.382219, 'longitude': 77.303093}, {'zip_code': '', 'city': '', 'country_code': 'IND', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': 'Mohali', 'country_code': 'IND', 'latitude': 30.703846, 'longitude': 76.718667}]",,Mohali,IND,30.703846,76.718667
154,My Modern Metropolis,web,"art, design, photography, creativity","[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,,USA,,
155,Niyati Technologies,consulting,"web-design, logo-design, ui-design, software-development, outsourcing, web-2-0, indian-companies, ajax, php, asp, e-commerce, flash, 2d-animation, branding, 3d-animation, blog-design, website-design, website-development","[{'zip_code': '600008', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}, {'zip_code': '188216', 'city': '', 'country_code': 'SGP', 'latitude': None, 'longitude': None}]",188216,,SGP,,
156,RadSync,software,website-design-develop-asp-sharepoint-systems-desktop-mobile-clientside-serverside,"[{'zip_code': '', 'city': '', 'country_code': 'CAN', 'latitude': None, 'longitude': None}]",,,CAN,,
157,deBruyn Design + Marketing,advertising,"real-estate, marketing, graphic-design, web-development, ubertor","[{'zip_code': 'V4A6T4', 'city': '', 'country_code': 'CAN', 'latitude': 49.034602, 'longitude': -122.832125}]",V4A6T4,,CAN,49.034602,-122.832125
158,RedMaiden,advertising,"palmer-enfield, director, film, video, television, production, communications, creative, philadelphia, new-york-city, los-angeles, marketing, advertising, web-content, red, maiden, design","[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,,USA,,
159,Ashe Media Holdings,web,"consumer-web, web-design, web-development","[{'zip_code': '35476', 'city': '', 'country_code': 'USA', 'latitude': 33.884218, 'longitude': -84.338429}]",35476,,USA,33.884218,-84.338429
160,Cubedroute,web,"django, web2ireland, sabe, cubedroute","[{'zip_code': 'D18', 'city': 'Dublin', 'country_code': 'IRL', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': '', 'country_code': 'CAN', 'latitude': None, 'longitude': None}]",,,CAN,,
161,BigSpire Technologies,ecommerce,,"[{'zip_code': '', 'city': '', 'country_code': 'IND', 'latitude': 13.060416, 'longitude': 80.249634}]",,,IND,13.060416,80.249634
