,name,category_code,tag_list,total_money_raised,offices,zip_code,city,country_code,latitude,longitude
49,SqueeNet,games_video,"technology, blog, squeem, squalk, technology-mobile, personals, networking, entertainment, internet-tv, tv, internet",,[],,,,,
50,Techvensys,network_hosting,"unlimited-web-hosting, unlimited-web-space, unlimited-bandwidth, cheap-web-hosting, cheapest-reseller-hosting, master-reseller-hosting, best-web-hosting, unlimited-reseller-hosting, affordable-reseller-hosting, web-designing, cheap-affordable-hosting, sha",,[],,,,,
51,Technology PR,public_relations,,,[],,,,,
52,Techcase,,,,[],,,,,
53,Technion,,,,[],,,,,
54,Business Case Pro,,business-case-consulting,,[],,,,,
55,Rockadoo,consulting,"technology, computers, computer, it, consulting, iphone, ruby-on-rails, php, web-app, web-2-0",,[],,,,,
56,Jowki,web,"15-year-old-tech-blogger, tech-blogger, web-tools, apps, games, twitter, internet, free, reviews",,[],,,,,
57,Events Computer Design,web,"website, e-commerce, walkthrough, cd-presentation",,[],,,,,
58,FragBrag,games_video,"gaming, gamers, frags, videos, tournaments, first-person, multi-player, entertainment, video-game, social, network, community, share, youth, global",,[],,,,,
59,Gambolio,web,"gaming, casual-gaming, games, flash, ria, ajax, game",,[],,,,,
60,WeGame,web,,3500000.0,"[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': 37.09024, 'longitude': -95.712891}]",,,USA,37.09024,-95.712891
61,ZapNat,web,"tech, news, buzz, talk, comments, gadgets, business",,"[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': 42.037302, 'longitude': -71.683502}]",,,USA,42.037302,-71.683502
62,Blubert,games_video,"technology-news, startup-reviews, news, clustered, clustering",,"[{'zip_code': '', 'city': '', 'country_code': 'BRB', 'latitude': None, 'longitude': None}]",,,BRB,,
63,QRIU,public_relations,"web-development, webdesign, intranet, backoffice, web-solutions",,"[{'zip_code': '', 'city': '', 'country_code': 'PRT', 'latitude': None, 'longitude': None}]",,,PRT,,
64,iThryv,web,"techcrunch50, tc50, financial, banking, kids, kids-online-banking, oklahoma",,"[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': 35.428318, 'longitude': -97.4913054}]",,,USA,35.428318,-97.4913054
65,iThryv,web,"techcrunch50, tc50, financial, banking, kids, kids-online-banking, oklahoma",,"[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': 35.428318, 'longitude': -97.4913054}]",,,USA,35.428318,-97.4913054
66,TechPluto,web,"startup-review, web-2-0, technology-news",,"[{'zip_code': '', 'city': '', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",,,IND,,
67,Technology In Ministry,consulting,"technology-ministry, outreach, non-profit, technology-consulting",,"[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,,USA,,
68,Eton Digital,web,"social-network-development, social-media, social-network, social-networking, drupal, symfony, website-design, content-management, web-2-0, web-accessibility",,"[{'zip_code': '', 'city': '', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",,,GBR,,
69,Techpool Bio-Pharma,biotech,,20500000.0,"[{'zip_code': '510520', 'city': '', 'country_code': 'CHN', 'latitude': None, 'longitude': None}]",510520,,CHN,,
70,Homesaver,software,,,"[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,,USA,,
71,Your Design Online,web,"web-design, web-development, website-design, website-development, internet-marketing, email-marketing, social-media, web-design-atlanta, website-design-atlanta, web-site-development, search-engine-optimization, seo, search-engine-marketing, atlanta-web-de",,"[{'zip_code': '30338', 'city': 'ATLANTA', 'country_code': 'USA', 'latitude': 33.9349004, 'longitude': -84.3378955}]",30338,ATLANTA,USA,33.9349004,-84.3378955
72,Techonweb,other,"buy-computers, printers, digital-cameras, monitors, flatscreen-televisions-networking-devices",,"[{'zip_code': '75001', 'city': 'Addison', 'country_code': 'USA', 'latitude': 32.9812471, 'longitude': -96.8303112}]",75001,Addison,USA,32.9812471,-96.8303112
73,Techinline,software,"remote-support, remote-access, file-sharing, file-transfer, logmein, teamviewer, gotoassist, screen-sharing, it-support, browser-technology, vnc, remote-desktop",,"[{'zip_code': 'RG7 8NN', 'city': 'Aldermaston, Reading, Berkshire', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",RG7 8NN,"Aldermaston, Reading, Berkshire",GBR,,
74,Technically Simple,consulting,"tech, it, consulting, mac, apple, exchange, switch",,"[{'zip_code': '92656', 'city': 'Aliso Viejo', 'country_code': 'USA', 'latitude': 33.58273, 'longitude': -117.727468}]",92656,Aliso Viejo,USA,33.58273,-117.727468
75,inCode Wireless,consulting,,,"[{'zip_code': '30022', 'city': 'Alpharetta', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",30022,Alpharetta,USA,,
76,The Next Web,news,,,"[{'zip_code': '1018XV', 'city': 'Amsterdam', 'country_code': 'NLD', 'latitude': None, 'longitude': None}]",1018XV,Amsterdam,NLD,,
77,The Next Web,news,,,"[{'zip_code': '1018XV', 'city': 'Amsterdam', 'country_code': 'NLD', 'latitude': None, 'longitude': None}]",1018XV,Amsterdam,NLD,,
78,Compel Interaction,consulting,,,"[{'zip_code': '48103', 'city': 'Ann Arbor', 'country_code': 'USA', 'latitude': 42.281569, 'longitude': -83.813914}, {'zip_code': '60605', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.875026, 'longitude': -87.628933}, {'zip_code': '49684', 'city': 'Traverse City', 'country_code': 'USA', 'latitude': 44.7871116, 'longitude': -85.6378062}]",49684,Traverse City,USA,44.7871116,-85.6378062
79,QinetiQ,other,,,"[{'zip_code': '22202', 'city': 'Arlington', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",22202,Arlington,USA,,
80,Technodyne,consulting,,,"[{'zip_code': '12135', 'city': 'Athens', 'country_code': 'GRC', 'latitude': 38.0248447, 'longitude': 23.6879859}]",12135,Athens,GRC,38.0248447,23.6879859
81,Manitoulin Holdings,other,"technology, property-development, portfolio, biotech, environment",,"[{'zip_code': 'PLZ 08209', 'city': 'Auerbach', 'country_code': 'DEU', 'latitude': None, 'longitude': None}, {'zip_code': '94023', 'city': 'Los Altos', 'country_code': 'USA', 'latitude': 37.3853, 'longitude': -122.1133}]",94023,Los Altos,USA,37.3853,-122.1133
82,OtherInbox,messaging,"techcrunch50, tc50, email, spam, webmail, shopping",3800000.0,"[{'zip_code': '78701', 'city': 'Austin', 'country_code': 'USA', 'latitude': 30.269004, 'longitude': -97.740395}]",78701,Austin,USA,30.269004,-97.740395
83,TRUECar,transportation,"techcrunch50, tc50, new-car-pricing, new-car, automotive, auto-retail, online-car-buying, car-buying, new-car-buying, truecar-certified-dealers",352000000.0,"[{'zip_code': '90401', 'city': 'Santa Monica', 'country_code': 'USA', 'latitude': 34.0152942, 'longitude': -118.4965479}, {'zip_code': '94111', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': '90401', 'city': 'Santa Monica', 'country_code': 'USA', 'latitude': 34.012985, 'longitude': -118.49567}, {'zip_code': '78738', 'city': 'Austin', 'country_code': 'USA', 'latitude': 30.3096936, 'longitude': -97.9390133}, {'zip_code': '93105', 'city': 'Santa Barbara', 'country_code': 'USA', 'latitude': 34.4405218, 'longitude': -119.7445783}]",93105,Santa Barbara,USA,34.4405218,-119.7445783
84,TRUECar,transportation,"techcrunch50, tc50, new-car-pricing, new-car, automotive, auto-retail, online-car-buying, car-buying, new-car-buying, truecar-certified-dealers",352000000.0,"[{'zip_code': '90401', 'city': 'Santa Monica', 'country_code': 'USA', 'latitude': 34.0152942, 'longitude': -118.4965479}, {'zip_code': '94111', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': '90401', 'city': 'Santa Monica', 'country_code': 'USA', 'latitude': 34.012985, 'longitude': -118.49567}, {'zip_code': '78738', 'city': 'Austin', 'country_code': 'USA', 'latitude': 30.3096936, 'longitude': -97.9390133}, {'zip_code': '93105', 'city': 'Santa Barbara', 'country_code': 'USA', 'latitude': 34.4405218, 'longitude': -119.7445783}]",93105,Santa Barbara,USA,34.4405218,-119.7445783
85,qcue,software,"technology, consulting, software, pricing, pricing-solutions, dynamic-pricing, sports, entertainment, concerts",1130000.0,"[{'zip_code': '78759', 'city': 'Austin', 'country_code': 'USA', 'latitude': 30.396989, 'longitude': -97.735768}]",78759,Austin,USA,30.396989,-97.735768
86,Blippitt,news,"tech-news, viral-videos, viral-news",,"[{'zip_code': '21284', 'city': 'Baltimore', 'country_code': 'USA', 'latitude': 39.4157, 'longitude': -76.6096}]",21284,Baltimore,USA,39.4157,-76.6096
87,RMW Web Publishing,web,"web-developer, web-design, html, css, javascript, jquery, flash, twitter-api, flickr-api",,"[{'zip_code': '2795', 'city': 'Bathurst', 'country_code': 'AUS', 'latitude': -33.41978, 'longitude': 149.574258}]",2795,Bathurst,AUS,-33.41978,149.574258
88,"Ben Jen Online, LLC",consulting,"computer-tech-support, tech-support, computer-help, remote-support, online-tech-support, virtual-tech-support",350000.0,"[{'zip_code': '07921-0221', 'city': 'Bedminster', 'country_code': 'USA', 'latitude': 40.6463644, 'longitude': -74.6985891}, {'zip_code': '02117', 'city': 'Boston', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",02117,Boston,USA,,
89,CyberArts,software,poker-gaming-platform-backgammon-bingo-blackjack,16300000.0,"[{'zip_code': '94131', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': 37.737609, 'longitude': -122.435399}, {'zip_code': '94707', 'city': 'Berkeley', 'country_code': 'USA', 'latitude': 37.8983665, 'longitude': -122.2795667}]",94707,Berkeley,USA,37.8983665,-122.2795667
90,TechValidate Software,software,,,"[{'zip_code': '94710', 'city': 'Berkeley', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",94710,Berkeley,USA,,
91,Meteor Games,games_video,"gaming, online-entertainment, social-games, casual-games, online-community, game-studio, game-development-studio, social-network",,"[{'zip_code': '90210', 'city': 'Beverly Hills', 'country_code': 'USA', 'latitude': 34.09316, 'longitude': -118.378335}]",90210,Beverly Hills,USA,34.09316,-118.378335
92,HariOmTechnologies,software,web-development-company,,"[{'zip_code': '462021', 'city': 'Bhopal', 'country_code': 'IND', 'latitude': 23.2771102, 'longitude': 77.4589032}]",462021,Bhopal,IND,23.2771102,77.4589032
93,International Data Group,enterprise,"data, research, technology-research, technology-events",,"[{'zip_code': '02116', 'city': 'Boston', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",02116,Boston,USA,,
94,Hangout Industries,games_video,"techcrunch50, tc50",12000000.0,"[{'zip_code': '02111', 'city': 'Boston', 'country_code': 'USA', 'latitude': 42.352835, 'longitude': -71.0609612}]",02111,Boston,USA,42.352835,-71.0609612
95,Hangout Industries,games_video,"techcrunch50, tc50",12000000.0,"[{'zip_code': '02111', 'city': 'Boston', 'country_code': 'USA', 'latitude': 42.352835, 'longitude': -71.0609612}]",02111,Boston,USA,42.352835,-71.0609612
96,Techstars,finance,"seed-fund, techstars, accelerator, techstars-nyc-winter-2011, techstars-boston-2011, techstars-boulder-2011, techstars-seattle-2011, techstars-nyc-summer-2011, techstars-cloud-2012, techstars-boston-2012, techstars-nyc-2012",34000000.0,"[{'zip_code': '', 'city': 'Boulder', 'country_code': 'USA', 'latitude': 40.010492, 'longitude': -105.276843}]",,Boulder,USA,40.010492,-105.276843
97,Lefthand Networks,enterprise,,25000000.0,"[{'zip_code': '', 'city': 'Boulder', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,Boulder,USA,,
98,A1-4 Electronics,hardware,"tech, office-paper-shredders--cash-registers, laser-printers, fax-machines, letter-folding-machines-",,"[{'zip_code': '11206', 'city': 'Brooklyn', 'country_code': 'USA', 'latitude': 40.6996318, 'longitude': -73.9514066}]",11206,Brooklyn,USA,40.6996318,-73.9514066
99,Popego,advertising,"techcrunch50, tc50, web-service, interests, semantic, aggregator, artificial-intelligence, ai, design, interfaces",,"[{'zip_code': '1414BHH', 'city': 'Buenos Aires', 'country_code': 'ARG', 'latitude': None, 'longitude': None}, {'zip_code': '94102', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': 37.778687, 'longitude': -122.421242}]",94102,San Francisco,USA,37.778687,-122.421242
100,Tweegee,games_video,"techcrunch50, tc50, kids, tweens, safty, games, avatar, virtual-world, fun, entertainment, cartoons, movies, social-network, social-activities",3000000.0,"[{'zip_code': '', 'city': 'Ramat Gan', 'country_code': 'ISR', 'latitude': 32.037363, 'longitude': 34.8003705}, {'zip_code': '', 'city': 'Istanbul', 'country_code': 'TUR', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': 'Moscow', 'country_code': 'RUS', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': 'Buenos Aires', 'country_code': 'ARG', 'latitude': None, 'longitude': None}]",,Buenos Aires,ARG,,
101,Popego,advertising,"techcrunch50, tc50, web-service, interests, semantic, aggregator, artificial-intelligence, ai, design, interfaces",,"[{'zip_code': '1414BHH', 'city': 'Buenos Aires', 'country_code': 'ARG', 'latitude': None, 'longitude': None}, {'zip_code': '94102', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': 37.778687, 'longitude': -122.421242}]",94102,San Francisco,USA,37.778687,-122.421242
102,Tweegee,games_video,"techcrunch50, tc50, kids, tweens, safty, games, avatar, virtual-world, fun, entertainment, cartoons, movies, social-network, social-activities",3000000.0,"[{'zip_code': '', 'city': 'Ramat Gan', 'country_code': 'ISR', 'latitude': 32.037363, 'longitude': 34.8003705}, {'zip_code': '', 'city': 'Istanbul', 'country_code': 'TUR', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': 'Moscow', 'country_code': 'RUS', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': 'Buenos Aires', 'country_code': 'ARG', 'latitude': None, 'longitude': None}]",,Buenos Aires,ARG,,
103,Brightkite,social,"techstars, techstars-boulder-2007, social-network, location, gps, iphone, mobile, android, maps, local, placestreaming, location-based, chat",1420000.0,"[{'zip_code': '94010', 'city': 'Burlingame', 'country_code': 'USA', 'latitude': 39.762314, 'longitude': -104.982256}]",94010,Burlingame,USA,39.762314,-104.982256
104,GamerDNA,web,"guildcafe, socialnetworks, mmorpg",3000000.0,"[{'zip_code': '', 'city': 'Cambridge', 'country_code': 'USA', 'latitude': 42.375392, 'longitude': -71.118487}]",,Cambridge,USA,42.375392,-71.118487
105,Emerginvest,web,"techcrunch50, tc50, finance, online-media, emerging-markets, stocks, portfolio-tools, investments",,"[{'zip_code': '02138', 'city': 'Cambridge', 'country_code': 'USA', 'latitude': 42.374396, 'longitude': -71.113686}]",02138,Cambridge,USA,42.374396,-71.113686
106,Emerginvest,web,"techcrunch50, tc50, finance, online-media, emerging-markets, stocks, portfolio-tools, investments",,"[{'zip_code': '02138', 'city': 'Cambridge', 'country_code': 'USA', 'latitude': 42.374396, 'longitude': -71.113686}]",02138,Cambridge,USA,42.374396,-71.113686
107,Holdsworth Associates,public_relations,"pr, public-relations, communications, marketing, technology-pr",,"[{'zip_code': 'CB24 4QG', 'city': 'Cambridge', 'country_code': 'GBR', 'latitude': 52.20597, 'longitude': 0.119827}]",CB24 4QG,Cambridge,GBR,52.20597,0.119827
108,TechAspect Solutions,consulting,"wcm-consulting, web-content-management, autonomy-teamsite, sitecore, day-cq5, drupal-ecm, enterprise-content-management, content-management",,"[{'zip_code': '94538', 'city': 'Fremont', 'country_code': 'USA', 'latitude': 37.4797894, 'longitude': -121.9452534}, {'zip_code': '', 'city': 'Canton', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': 'RH10 1TN', 'country_code': 'GBR', 'latitude': None, 'longitude': None}, {'zip_code': '500 081', 'city': 'Hyderabad', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",500 081,Hyderabad,IND,,
109,Box UK,software,"content-management-systems, software-development, web-content-solutions, website-development, user-experience, bespoke-development, analytics, design, information-architecture, seo, social-media-marketing, ppc, web, web-development, search, consulting, si",,"[{'zip_code': 'W1B 4BD', 'city': 'London', 'country_code': 'GBR', 'latitude': 51.5107737, 'longitude': -0.1392447}, {'zip_code': 'CF10 1DD', 'city': 'Cardiff', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",CF10 1DD,Cardiff,GBR,,
110,Agriya,software,"agriya, history-of-agriya, clone-script-developer, web-development, web-design-services, agriya-software, clone-scripts-php, web-development-company",,"[{'zip_code': '600034', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",600034,Chennai,IND,,
111,Ars Technica,web,"news, technology, pc",,"[{'zip_code': '', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.879535, 'longitude': -87.624333}]",,Chicago,USA,41.879535,-87.624333
